UserID,PreferredNationality,PreferredGender,PreferredExhibitionRole,InterestInModernArt,InterestInHistoricalArt,InterestInSculptures
1,Australian,Female,Installer,0.8924083222472413,0.09937979534509256,0.8100660582097702
2,Haitian,Female,Installer,0.9410285507015546,0.11021016331240385,0.031077286441664298
3,Russian,male,Installer,0.04228908161301559,0.20723915138438165,0.04943894261123294
4,Guatemalan,male,Installer,0.08076233104413688,0.19509879794225904,0.2308170109071258
5,Russian,Unknown,Artist,0.897640946688252,0.9383239956272807,0.7718012214361988
6,Finnish,male,Artist,0.3789635651639528,0.6586462854775331,0.33439166400197307
7,Uruguayan,Male,Installer,0.4926935025776994,0.8841934385452375,0.016716642954160976
8,Icelandic,Male,Designer,0.36243655207401715,0.12804550048962493,0.7379591483739321
9,Irish,Unknown,Designer,0.676756288497641,0.25649486343986316,0.29804197631582796
10,Indian,Male,Preparer,0.475227827075274,0.8826272328046972,0.704482429927297
11,Korean,Female,Curator,0.565344788445408,0.631294656875673,0.11343982715453516
12,Slovene,Unknown,Arranger,0.16501185083180558,0.5975027948796456,0.3627083278878772
13,Russian,Unknown,Preparer,0.3697268404905266,0.16459937071096808,0.48284732840238176
14,Georgian,Unknown,Designer,0.41651811146043816,0.6740148947602547,0.1783840241723026
15,Georgian,Male,Designer,0.2679461600830505,0.07879588534134163,0.828969230146388
16,Argentine,Female,Arranger,0.006488578666888123,0.6500251982584744,0.8044460111640082
17,Georgian,male,Arranger,0.3713433095295018,0.5690163157610499,0.7579867678440882
18,Icelandic,male,Arranger,0.31504316431643997,0.6991144095551856,0.6028398836971964
19,New Zealander,Unknown,Preparer,0.43279069613308085,0.4942199376113239,0.0014507147128391962
20,architect,male,Arranger,0.6633492367545188,0.48876141596689493,0.4288989913141207
21,South African,Female,Installer,0.8364215794657375,0.911521663086246,0.11036541997263138
22,Latvian,Female,Installer,0.707017916174433,0.5966664496141355,0.323598782008226
23,South,Unknown,Curator,0.3854927471441725,0.13739641235599542,0.3628993840634259
24,Latvian,male,Artist,0.7463598202015268,0.10252561707323948,0.92644258128089
25,Scottish,Male,Curator,0.7859995309429705,0.06839780985523947,0.16788990137435733
26,Canadian,Female,Competition Judge,0.7816402434822863,0.2717883339977265,0.10246152283214272
27,Venezuelan,Female,Preparer,0.5196944326291866,0.3955159444048235,0.20646485877928988
28,Argentine,male,Arranger,0.3531051964933042,0.11625798697526557,0.4364187128657483
29,Slovene,Female,Artist,0.7485029403692222,0.25082193077000736,0.5369794684995742
30,Iranian,Unknown,Competition Judge,0.3053449069811266,0.6853164384064214,0.19554104059170174
31,Russian,Unknown,Arranger,0.0013116935021083576,0.03647036605886189,0.8714430406119315
32,Native American,male,Curator,0.09594634202957852,0.5959728655252442,0.5129913613432973
33,Venetian,Male,Competition Judge,0.34557084236160696,0.238658896680648,0.6922559477645913
34,Ukrainian,Unknown,Preparer,0.2844797719153138,0.9739306142194768,0.37480324268097986
35,Cuban,Male,Installer,0.8521492739559672,0.9752597790515971,0.4884872220659058
36,South,male,Artist,0.7826911949904432,0.6906363512774055,0.28144658658435784
37,New,male,Curator,0.2486280405533995,0.7860402647751684,0.596501842893656
38,New Zealander,Male,Installer,0.12682243912678615,0.5938407605975706,0.15002628504739524
39,Venetian,Female,Preparer,0.7316195618145704,0.8815388635186312,0.9294520840261298
40,Yugoslav,male,Arranger,0.8009937307657138,0.8392846714375153,0.30634233338096406
41,Slovene,Unknown,Arranger,0.6152946765702703,0.7592157743307105,0.2928498898339785
42,Latvian,male,Curator,0.7152185656801233,0.8817293261868889,0.9671606964330459
43,Georgian,Male,Arranger,0.9962301280949502,0.743333243059124,0.28911325959771894
44,Chinese,Female,Designer,0.35707378492418573,0.7203839159796557,0.4241776012023596
45,Netherlandish,Male,Competition Judge,0.13572695277810576,0.6913459476641001,0.4266602161997325
46,Georgian,Male,Designer,0.7040670724216421,0.30799984558797766,0.696725096522629
47,Uruguayan,male,Preparer,0.9589830570219935,0.20329548082800464,0.007520538765002471
48,Swedish,Female,Installer,0.7340696649784624,0.7986174519324694,0.6426733916548781
49,Luxembourgish,male,Competition Judge,0.3033794332815447,0.15059982565966978,0.5569006094619572
50,Croatian,Male,Arranger,0.8317038944928021,0.9065730521665616,0.932324562602738
51,Bolivian,male,Artist,0.4940751396116516,0.586479072547596,0.0674205558041554
52,Rhodesian,Female,Artist,0.14069370079306076,0.7913970578700432,0.643341399252737
53,Italian,Male,Designer,0.10250343234282955,0.04270483631975697,0.2403914901115013
54,Danish,Female,Curator,0.21929757790078486,0.9118317035241106,0.7406613009906363
55,French,male,Preparer,0.7514706060212162,0.4405012963505691,0.2726803019510484
56,Turkish,Female,Arranger,0.31319182602900253,0.08859799224136711,0.06745217031370387
57,Romanian,Unknown,Artist,0.3398701209642234,0.44881700865580776,0.2180059354019006
58,Indian,Unknown,Competition Judge,0.8159503886614257,0.34093894757247056,0.17584888233746
59,South African,male,Preparer,0.9040068403053171,0.8494571195278281,0.3609585047332079
60,Ecuadorian,male,Arranger,0.5311612668710256,0.3138032561334486,0.48553513484360233
61,Swedish,male,Designer,0.39377309896489643,0.8531047456689032,0.05588022662808767
62,Czech,Female,Designer,0.17488453623321132,0.8980777740442881,0.24361297912625834
63,Bolivian,Male,Installer,0.9648146031873108,0.6505859640967756,0.6158150168100303
64,Cuban,male,Designer,0.8300240909660217,0.4460387698210522,0.06795103974549377
65,Israeli,male,Artist,0.10350133084064272,0.4157481747228776,0.8655100213376855
66,Bosnian,Unknown,Arranger,0.3228519302753521,0.9846248412973285,0.6807993581290085
67,Norwegian,Female,Designer,0.4703890832841908,0.28942928614941976,0.6354409929251567
68,New Zealander,Unknown,Competition Judge,0.9106963858323225,0.43263685698366516,0.2331689368188512
69,Peruvian,Female,Artist,0.8413178805279498,0.6082889283682297,0.3265146603017183
70,Indian,Female,Designer,0.3760165647546516,0.8349745069346848,0.9847797259914075
